id ;código;nombre;categoría;subcategoría;variante;origen;trazabilidad;formato;peso_aprox;descripción;imagen;destacado
;21342902;PALETILLA LECHAL COLEAR;;;;;;;;;;
;21584115;PALETILLA LECHAL CONGELADA 24UN;;;;;;;;;;
;21584131;CARRE LECHAL CONGELADO 10UN C/15;;;;;;;;;;
;23399678;FALDA DE CORDERO DESP.;;;;;;;;;;
;04910212;MOLLEJAS CORDERO;;;;;;;;;;
;05130950;CORDERO MANITAS PARTIDAS;;;;;;;;;;
;18961300;BURGER MEAT VACUNO BASIC 1 KG;;;;;;;;;;
;24054298;BURGUER MEAT CERDO O CAUREL C/3;;;;;;;;;;
;24099806;BURGUER MEAT VACUNO O CAUREL C/3;;;10,14 €;17%;30/07/2026;12/08/2026;Excel;;;
;24100232;BURGUER MEAT VACUNO O CAUREL 400gr;;;;;;;;;;
;23399462;"(V) CHULETA DE CERDO ""TONKATSU""";;;;;;;;;;
;23636426;BURGUER MEAT CERDO CAUREL C/6 400;;;;;;;;;;
;13163142;BURGER MEAT CARNE PICADA POLLO;;;;;;;;;;
;19941384;PICADA POLLO PARA EMPANADA 2/2 K;;;;;;;;;;
;18960674;BURGER MEAT MIXTA BASIC 1 KG;;;;;;;;;;
;23079759;BURGER MEAT CERDO VACUNO C/6UD 4;;;;;;;;;;
;23636418;BURGUER MEAT CER/VAC.CAUREL C/3;;;5,19 €;15%;06/08/2026;12/08/2026;Excel;;;
;02689800;PINCHOS MORUNOS COREN BJA 4/400G;;;;;;;;;;
;24996332;BROCHETA PAVO MARINADA COREN 360;;;;;;;;;;
;25964313;BROCHETAS DE POLLO CONG C/10KG;;;;;;;;;;
;26236943;MINI BROCHETA G.GOURMET 420G;;;;;;;;;;
;26236950;MINI PINCHO GRANJ.GOURMET 300G;;;;;;;;;;
;25964453;TIRAS POLLO BRASE CONGELADA C/10;;;;;;;;;;
;25964503;"ALITAS ASADAS ""ROASTED"" C/5KG";;;;;;;;;;
;02649929;LONGANIZA FR.BLANCA BJA CAUREL C;;;;;;;;;;
;11325958;LONGANIZA FRES.ROJA BJA CAUREL C;;;;;;;;;;
;21603543;SALCHICHA CERDO SELECTA 350G;;;;;;;;;;
;03189669;MORCILLA ARROZ MAYTE C/12U;;;;;;;;;;
;09473588;MORCILLA GALLEGA HERCULES;;;;;;;;;;
;02649952;CRIOLLO BNDJA O`CAUREL C/6U 500G;;;;;;;;;;
;11325990;CHORIZO CASERO BJA O CAUREL 4/42;;;;;;;;;;
;11326006;CHORIZO AL VINO O CAUREL BJA C/4;;;;;;;;;;
;12451944;CHORIZO CASERO MALLA O'CAUREL 500GR;;;;;;;;;;
;13368915;CHORIZO BARBACOA BJA O CAUREL C/;;;;;;;;;;
;18850982;CHOR.CRIOLLO BAR.CAUREL 3/800GR;;;;;;;;;;
;19642909;ZORZA PICAD.CHORIZO TORRENUÑEZ C;;;;;;;;;;
;21728761;MINI CRIOLLO HOST SERVIHOSTEL;;;;;;;;;;
;21728787;CRIOLLO HOST SERVIHOSTEL;;;;;;;;;;
;21728795;CHORIZO PINCHO HOST SERVIHOSTEL;;;9,46 €;21%;30/07/2026;12/08/2026;Excel;;;
;21728803;CHORIZO BARBACOA HOST SERVIHOSTE;;;;;;;;;;
;21728811;CARNE CHORIZO FRESCO SERVIHOSTEL;;;4,16 €;21%;30/07/2026;12/08/2026;Excel;;;
;21766530;CRIOLLO PARRILLADAS GR;;;;;;;;;;
;23419195;POLLO ASADOR C12;;;;;;;;;;
;24258832;CHORIZO CASERO DULCE O CAUREL C/;;;;;;;;;;
;24258857;CHORIZO CASERO PICANTE CAUREL C/;;;;;;;;;;
;25674227;BRASAS IBÉRICAS VACIO C/8;;;;;;;;;;
;25674243;CHORIZO IBERICO BLANCO VACIO C/8;;;;;;;;;;
;26236935;CHORIZ.CRIOLLO POLLO G.GOURMET;;;;;;;;;;
;15531874;BURGER MEAT FIL.RUSO O'CAUREL ( En Bandeja de 4 unidades de 85Gr);;;;;;;;;;
;24977159;SOLOMILLO POLLO EMPANADO 4/415GR;;;;;;;;;;
;24977183;CROQUETAS JAMÓN IBERICO 6/360GR;;;;;;;;;;
;24977191;NUGGET PECHUGA POLLO 4/320GR;;;;;;;;;;
;25945981;FINGERS POLLO CONGELADOS 8/500GR;;;;;;;;;;
;25964529;FILETES DE POLLO EMPANADO 140-160 GR;;;;;;;;;;
;25964537;BOCADITOS POLLO C/10KG;;;;;;;;;;
;25818246;ALITAS POLLO CRUJIENT.ALDELIS;;;;;;;;;;
;25876772;TORTI.CHEESEBURGER ALDELIS 270;;;;;;;;;;
;25876780;TORT.POLLO C/QUESO ALDELIS 270;;;;;;;;;;
;00671552;CALLOS PREP. 1/2K ROGUSA C/18U;;;;;;;;;;
;00730283;OREJA COCIDA  ROGUSA C/11U;;;;;;;;;;
;02691608;TIRA COSTILLA SALADA;;;;;;;;;;
;02691616;COSTILLA SALADA;;;;;;;;;;
;02691632;ESTOMAGOS SALADOS;;;;;;;;;;
;02691657;MORROS SALADOS;;;;;;;;;;
;02691665;LENGUAS SALADAS;;;;;;;;;;
;02691681;PATAS SALADAS;;;;;;;;;;
;02691699;RABO S/ESPINAZ SALADO;;;;;;;;;;
;02691715;RABO C/ESPINAZ SALADO;;;;;;;;;;
;02691731;UNTO SALADO;;;;;;;;;;
;02691749;TOCINO IBERICO GV;;;;;;;;;;
;02723005;CABEZA CERDO CURADA;;;;;;;;;;
;02946390;ESPINAZO SALADO;;;;;;;;;;
;03058211;OREJAS SALADAS;;;;;;;;;;
;03299211;TIRA COSTILLA SALADA BDJA GRND;;;;;;;;;;
;03299245;COSTILLA SALADA BDJA GRANDE;;;;;;;;;;
;03299302;MORROS SALADOS BDJA GRANDE;;;;;;;;;;
;03299328;OREJAS SALADOS BDJA GRANDE;;;;;;;;;;
;03299351;PATAS SALADAS BDJA GRANDE;;;;;;;;;;
;03299369;RABOS S/ESPINAZ SALAD BDJA GRN;;;;;;;;;;
;03299385;UNTO SALADO BDJA GRANDE;;;;;;;;;;
;03299443;TIRA COSTILLA SALADA GRANEL;;;;;;;;;;
;03300001;RABO C/ESPINAZO SALAD BDJA GRN;;;;;;;;;;
;03300126;TOCINO SALADO BDJA GRANDE;;;;;;;;;;
;03367455;PANCETA CURADA C/COSTILLA;;;;;;;;;;
;03367463;PANCETA CURADA S/COSTILLA;;;;;;;;;;
;03754389;TRIPA COMESTIBLE;;;;;;;;;;
;09471491;1/2 CACHOLA CURADA VAC.HERCULE;;;;;;;;;;
;09503418;PANCETA CURADA TROCEADA 400GR;;;;;;;;;;
;12031340;PANCETA CURADA 3 TROZOS C/HUESO;;;;;;;;;;
;13742911;PANCETA CURADA S/COSTILLA VACIO;;;;;;;;;;
;13927306;PANCETA TROZO VACIO;;;;;;;;;;
;14248744;PANCETA TRIANGULAR BJA;;;;;;;;;;
;15772510;BACON MENOS SAL GISVA C/10KG;;;;;;;;;;
;16104036;COSTILLA SALADA GRANE;;;;;;;;;;
;16104069;OREJA CERDO SAL BLANCA GRANEL;;;;;;;;;;
;16843781;CABEZA CERDO CURADA SELECTA;;;;;;;;;;
;17681750;PANCETA PUNTO DE SAL 8/500GR;;;;;;;;;;
;18658047;PANCETA OREADA S/H BAJA SAL CORE;;;;;;;;;;
;18658070;CABEZA DESH OREADA DESALADA VACI;;;;;;;;;;
;18658203;PANCETA OREADA C/H. SELECTA CORE;;;;;;;;;;
;20134292;1/2 CACHOLA C/HUESO C/4;;;;;;;;;;
;20134326;BACON CURADO 6/800GR;;;;;;;;;;
;20134334;BACON CURADO 12/400GR;;;;;;;;;;
;21729678;ESPINAZO SALADO BDJA GRANDE;;;;;;;;;;
;21730056;CABEZA CURADA FAMILIA;;;;;;;;;;
;21730247;TIRA SALADA GRANEL FAMILIA;;;;;;;;;;
;21730270;PANCETA IBERICA TROZOS VACIO;;;;;;;;;;
;21730296;ESPINAZO SALADO GRANEL;;;;;;;;;;
;21730544;OREJAS SALADAS GRANEL;;;;;;;;;;
;21770086;PATAS CERDO SALADAS CORTADAS 6/5;;;;;;;;;;
;22288799;LACON PORCIONES GISVA;;;;;;;;;;
;23399686;LACON CURADO;;;;;;;;;;
;23856727;TIRA COSTILLA CERDO SALADA RETRA;;;;;;;;;;
;23856735;COSTILLA CERDO SALADA RETRACTILA;;;;;;;;;;
;25509282;TRIPA SALADA BANDEJA GRANDE C/8B;;;;;;;;;;
;90062180;PANCETA CURADA VACIO;;;;;;;;;;
;90062181;PANCETA TROZO VACIO;;;;;;;;;;
;90062184;LACON TROZO;;;;;;;;;;
;90063406;MORROS SALADOS GRANEL Kilo;;;;;;;;;;
;01707264;COMPANGO ASTURIANO 12/250G EL CH;;;;;;;;;;
;08585739;PREPARADO PARA COCIDO FRIGOLOU;;;;;;;;;;
;12031324;PREPARADO COCIDO C/MORCILLA;;;;;;;;;;
;24944282;CODILLO CURADO TROCEADO VACIO;;;;;;;;;;
;24944290;MAZA LACON CURADO TROCEADO VACIO;;;;;;;;;;
;07080823;RELLENO CERDO MILHOJAS;;;;;;;;;;
;20105714;PAVO RELLENO CESTILLO COREN;;;;;;;;;;
;20105722;POLLO CORRAL RELLENO CESTILLO;;;;;;;;;;
;20105730;CAPON RELLENO CESTILLO COREN;;;;;;;;;;
;20105748;PULARDA RELLENA CESTILLO COREN;;;;;;;;;;
;21744610;REDONDO POLLO(BACON/QUESO)3/750G;;;;;;;;;;
;21766183;REDONDO PAVO FRUTOSYJEREZ 3/750;;;;;;;;;;
;23891609;ROTI RELLENO PULARD COREN 750G;;;;;;;;;;
;23892094;ROTI RELLENO POLLO COREN 750GR;;;;;;;;;;
;23892102;ROTI RELLENO PAVO COREN 750GR;;;;;;;;;;
;24604258;ROTI RELLENO CAPÓN COREN 750G;;;;;;;;;;
;24939019;ROTI DE POLLO COREN 900G;;;;;;;;;;
;00627588;CODILLO LACON SAZONADO VACIO EL;;;;;;;;;;
;03367372;CODILLOS CERDO CURADOS;;;;;;;;;;
;07312879;MAGRO TERNERA C/25KG;;;;;;;;;;
;08482085;CARPACCIO DE VACUNO ROLER;;;;;;;;;;
;09472770;CHICHARRON GALLEGO HERCULES;;;;;;;;;;
;09473448;CHICHARRON TARRINA HERCULES 8/35;;;;;;;;;;
;09504168;LACON CURADO DESAL.TROZO 400GR;;;;;;;;;;
;09504465;LACON CURADO TROCEADO 400GR;;;;;;;;;;
;13743026;LACON CURADO CON UÑA GISVA;;;;;;;;;;
;13841309;MINI LACON CURADO;;;;;;;;;;
;14249379;LACON CURADO CON PATA;;;;;;;;;;
;14321491;LACON C/PATA 100% DUROC;;;;;;;;;;
;15857170;LACON AL PUNTO SAL KG;;;;;;;;;;
;16658106;LACON CURADO PRECORTADO VACIO;;;;;;;;;;
;17577701;LACON CURADO SIN PATA;;;;;;;;;;
;18657817;LACON OREADO S/PATA SELECTA CORE;;;;;;;;;;
;18658187;LACÓN OREADO C/PATA SELECTA CORE;;;;;;;;;;
;18658195;LACONCITO OREADO SELECTA COREN;;;;;;;;;;
;19941822;LACÓN COCIDO EXTRA;;;;;;;;;;
;20106654;MINI LACON CURADO VACIO;;;;;;;;;;
;21731369;MINI LONGANIZA FRESCA SERVIHOSTE;;;;;;;;;;
;23419203;SUBPRODUCTOS CARNICERIA;;;;;;;;;;
;90000681;MAGRO TG TGS T30;;;;;;;;;;
;90066351;MAGRO DE BUEY C/25KG;;;;;;;;;;
;12451860;BURGER MEAT TERNERA O'CAUREL BJA (4X85GR);;;;;;;;;;
;19457035;HAMBURG.NOVILLA DEHESA 2X130G;;;;;;;;;;
;20980462;HAMB. ANGUS BIPACK DEHESA 2X130;;;;;;;;;;
;21054119;HAMBURGUESA ANGUS VERGARA (2X160 GR)320G;;;;;;;;;;
;21731518;HAMBURGUESA XX1 VACUNO 180GR;;;;;;;;;;
;21731641;BURGER MEAT MINI SERVIHOSTEL 33X40 GR(€/KG);;;;;;;;;;
;21731658;BURGER MEAT TERNERA HOST SERVIHO;;;;;;;;;;
;22465579;BURGER MEAT T.GALLE COREN 240G;;;;;;;;;;
;22465587;MINI BURGE MEAT T.G COREN 240G;;;;;;;;;;
;22465595;HAMBURGUESA TER.ECO COREN 6/240G;;;;;;;;;;
;23399710;HAMBURGUESA VACUNO X1(C)100GR;;;;;;;;;;
;23419468;(V) BURGUER MEAT TERNERA 25 GR C;;;;;;;;;;
;23419500;(V) HAMBUR TG 140GR CONG;;;;;;;;;;
;24320343;HAMB.ANGUS DEHESA 160GR ESTUCHE 8 UNIDADES;;;;;;;;;;
;25876798;BURGER VACUNO+CEBO.ALDELIS 300;;;;;;;;;;
;26397737;HAMB.BUEY GALLEGO COREN 300G (2X150GR);;;;;;;;;;
;26397745;HAM.VACA RUBIA GALL.COREN (2x150GR)300G C;;;;;;;;;;
;90065117;(V) HAMBUR TERNERA 140GR CONG;;;;;;;;;;
;90081536;(V) HAMBUR TG 25 GR CONG;;;;;;;;;;
;90091725;(V) BURGUER MEAT TERNERA 70GR CO;;;;;;;;;;
;09383431;BURGER MEAT ALBÓN. CAUREL BAND C;;;;;;;;;;
;21603527;HAMBURGUESA CERDO SELECTA 250G;;;;;;;;;;
;21731930;BURGER MEAT ALBÓNDIGAS HOST. SER;;;6,40 €;17%;30/07/2026;12/08/2026;Excel;;;
;24977035;BURGER IBERICA ELPOZO KING 4/240;;;;;;;;;;
;15048804;ALBONDIGAS PAVO SANNIA 6/420GR;;;;;;;;;;
;19358613;HAMBURGUESA ZANAHORIAS 6/316G;;;;;;;;;;
;21143235;HAMBURGUESA POLLO COREN 6X90GR;;;;;;;;;;
;24977068;BURGER CR.CHICKEN POZO KING 6/24;;;;;;;;;;
;90081537;BURGERS 200-250 GR POLLO;;;;;;;;;;
;90085194;BURGERS 200-250 GR PAVO;;;;;;;;;;
;02649945;BURGER MEAT BDJA O CAUREL 6/340G;;;;;;;;;;
;14161939;BURGER MEAT E.NIÑOS BJA CAUREL C;;;;;;;;;;
;14173827;BURGER MEAT BIG BJA CAUREL (2X110GR);;;1,66 €;9%;30/07/2026;12/08/2026;Excel;;;
;17335191;BURGER MEAT MIXTA AMERICANA 4/38;;;;;;;;;;
;21731963;BURGER MEAT MIXTA BASICA GRANEL;;;;;;;;;;
;21731971;BURGER MEAT MIXTA BÁSICA SERVIHOSTEL(24X85GR)(€/KG);;;;;;;;;;
;21731997;BURGER MEAT MIXTA HOST SERVIHOST;;;;;;;;;;
;24171969;HAMBURG.IBÉRICA-ANGUS NOEL 6/150;;;;;;;;;;
;00745422;MAGRO ADOBADO  C6;;;;;;;;;;
;02482446;LOMO ADOBADO HORNO  C/6;;;;;;;;;;
;05027149;LOMO SAJONIA FACCILE 300GR;;;;;;;;;;
;05027180;CHULETA SAJONIA FILETEADA;;;;;;;;;;
;19742303;FIAMBRE LOMO MENU VACIO;;;5,67 €;7%;30/07/2026;12/08/2026;Excel;;;
;19742311;FIAMBRE LOMO BOCATA VACIO;;;5,67 €;7%;30/07/2026;12/08/2026;Excel;;;
;20257192;FIAMBRE LOMO TACO HORNO PORTALCO;;;;;;;;;;
;25289588;LOMO SAJONIA EL CHICO 12/300G;;;;;;;;;;
;09204116;CONEJO ENTERO CESTA ECONOMICA;;;;;;;;;;
;12201257;CONEJO ENTERO HALAL;;;;;;;;;;
;90050402;CONEJO DE MONTE  CONG UD;;;;;;;;;;
;90079665;CONEJO ENTERO KG;;;;;;;;;;
;23419229;(V) CONEJO PARTIDO (PARA ARROZ);;;;;;;;;;
;19715234;PALETILLAS CONEJO COGAL;;;;;;;;;;
;07372170;POLLO BOLSA FLOWPACK;;;;;;;;;;
;07646383;POLLO  HALAL;;;;;;;;;;
;09204066;POLLO LIMPIO BJA CESTA ECONOMICA;;;;;;;;;;
;18853796;POLLO LIMPIO RIVADULLA BDJA;;;;;;;;;;
;25830449;POLLO ENTERO FLOWPACK C/4;;;;;;;;;;
;25964354;POLLO ENTERO S/VISC CONGELADO (PREC/KILO);;;;;;;;;;
